Occupation,"Number
of
workers","Median
weekly
earnings",Standard error of median,"Number
of
workers","Median
weekly
earnings",Standard error of median,"Number
of
workers","Median
weekly
earnings",Standard error of median,Percentage of Men's
"Property, real estate, and community association managers",390,"1,018",32,208,927,47,181,"1,148",31,80.7
Social and community service managers,363,"1,141",27,251,"1,057",32,112,"1,336",43,79.1
Emergency management directors,9,–,–,3,–,–,6,–,–,–
"Managers, all other","3,285","1,525",21,"1,263","1,341",21,"2,022","1,628",29,82.4
Business and financial operations occupations,"6,385","1,216",12,"3,471","1,105",15,"2,914","1,383",22,79.9
"Agents and business managers of artists, performers, and athletes",31,–,–,18,–,–,13,–,–,–
"Buyers and purchasing agents, farm products",10,–,–,3,–,–,7,–,–,–
"Wholesale and retail buyers, except farm products",147,878,61,65,880,114,82,878,97,100.2
"Purchasing agents, except wholesale, retail, and farm products",223,"1,160",50,102,"1,032",60,121,"1,209",23,85.4
"Claims adjusters, appraisers, examiners, and investigators",334,998,19,189,913,35,145,"1,167",32,78.2
Compliance officers,278,"1,296",75,149,"1,165",49,129,"1,450",56,80.3
Cost estimators,109,"1,165",36,14,–,–,95,"1,208",80,–
Human resources workers,620,"1,161",29,429,"1,107",48,190,"1,328",127,83.4
"Compensation, benefits, and job analysis specialists",48,–,–,31,–,–,17,–,–,–
Training and development specialists,111,"1,092",65,64,"1,086",116,47,–,–,–
Logisticians,127,"1,019",49,46,–,–,81,"1,131",222,–
Management analysts,635,"1,532",45,279,"1,437",29,356,"1,642",88,87.5
"Meeting, convention, and event planners",89,"1,002",77,69,"1,006",162,21,–,–,–
Fundraisers,82,"1,262",259,60,"1,168",37,22,–,–,–
Market research analysts and marketing specialists,299,"1,246",50,174,"1,148",32,125,"1,503",183,76.4
"Business operations specialists, all other",223,"1,150",17,127,"1,072",116,95,"1,234",205,86.9
Accountants and auditors,"1,615","1,209",19,969,"1,108",30,646,"1,404",57,78.9
Appraisers and assessors of real estate,47,–,–,22,–,–,24,–,–,–
Budget analysts,52,"1,351",79,35,–,–,17,–,–,–
Credit analysts,27,–,–,14,–,–,12,–,–,–
Financial analysts,261,"1,470",51,122,"1,197",55,138,"1,599",110,74.9
Personal financial advisors,414,"1,473",89,146,"1,207",107,268,"1,647",59,73.3
Insurance underwriters,122,"1,268",94,71,"1,032",76,51,"1,413",519,73.0
Financial examiners,11,–,–,9,–,–,2,–,–,–
Credit counselors and loan officers,332,"1,168",47,177,948,38,155,"1,443",50,65.7
"Tax examiners and collectors, and revenue agents",42,–,–,29,–,–,13,–,–,–
Tax preparers,62,"1,028",82,36,–,–,26,–,–,–
"Financial specialists, all other",35,–,–,22,–,–,13,–,–,–
Professional and related occupations,"28,945","1,176",5,"15,929","1,024",6,"13,017","1,425",9,71.9
Computer and mathematical occupations,"4,755","1,539",15,"1,184","1,345",28,"3,571","1,604",22,83.9
Computer and information research scientists,20,–,–,4,–,–,16,–,–,–
Computer systems analysts,580,"1,521",45,222,"1,246",34,358,"1,647",39,75.7
Information security analysts,93,"1,635",96,18,–,–,75,"1,625",176,–
Computer programmers,428,"1,591",45,91,"1,445",54,338,"1,662",55,86.9
"Software developers, applications and systems software","1,611","1,864",25,327,"1,644",36,"1,283","1,894",11,86.8
Web developers,164,"1,333",56,49,–,–,115,"1,418",105,–
Computer support specialists,516,"1,085",50,140,"1,015",68,376,"1,114",56,91.1
Database administrators,108,"1,493",95,40,–,–,67,"1,573",229,–
Network and computer systems administrators,192,"1,430",65,37,–,–,155,"1,478",60,–
Computer network architects,112,"1,765",39,10,–,–,102,"1,771",50,–
"Computer occupations, all other",678,"1,226",57,131,"1,208",64,548,"1,238",89,97.6
Actuaries,35,–,–,11,–,–,24,–,–,–
Mathematicians,3,–,–,1,–,–,2,–,–,–
Operations research analysts,125,"1,418",77,58,"1,299",168,66,"1,566",297,83.0
Statisticians,85,"1,437",107,43,–,–,41,–,–,–
Miscellaneous mathematical science occupations,5,–,–,2,–,–,3,–,–,–
Architecture and engineering occupations,"2,994","1,484",17,453,"1,259",30,"2,541","1,528",16,82.4
"Architects, except naval",170,"1,464",37,52,"1,301",74,118,"1,538",87,84.6
"Surveyors, cartographers, and photogrammetrists",35,–,–,7,–,–,28,–,–,–
Aerospace engineers,145,"1,788",67,16,–,–,129,"1,836",142,–
Agricultural engineers,5,–,–,0,–,–,5,–,–,–
Biomedical engineers,12,–,–,1,–,–,11,–,–,–
Chemical engineers,65,"1,858",33,8,–,–,57,"1,858",31,–
Civil engineers,410,"1,495",55,63,"1,282",48,346,"1,551",47,82.7
Computer hardware engineers,70,"1,772",271,11,–,–,60,"1,852",86,–
Electrical and electronics engineers,282,"1,646",37,31,–,–,251,"1,661",35,–
Environmental engineers,35,–,–,5,–,–,30,–,–,–
"Industrial engineers, including health and safety",245,"1,499",39,54,"1,163",57,191,"1,571",57,74.0
Marine engineers and naval architects,15,–,–,0,–,–,15,–,–,–
Materials engineers,42,–,–,10,–,–,32,–,–,–
Mechanical engineers,313,"1,562",47,31,–,–,282,"1,581",67,–
"Mining and geological engineers, including mining safety engineers",8,–,–,2,–,–,6,–,–,–
Nuclear engineers,13,–,–,1,–,–,12,–,–,–
Petroleum engineers,27,–,–,5,–,–,22,–,–,–
"Engineers, all other",528,"1,575",36,65,"1,356",113,463,"1,610",58,84.2
Drafters,112,"1,021",46,22,–,–,91,"1,029",45,–
"Engineering technicians, except drafters",398,"1,129",26,66,934,73,332,"1,154",22,80.9
Surveying and mapping technicians,63,984,80,3,–,–,60,995,83,–
"Life, physical, and social science occupations","1,308","1,270",34,575,"1,156",24,733,"1,357",20,85.2
Agricultural and food scientists,30,–,–,13,–,–,16,–,–,–
Biological scientists,101,"1,250",82,46,–,–,55,"1,164",203,–
Conservation scientists and foresters,17,–,–,8,–,–,9,–,–,–
Medical scientists,160,"1,319",139,81,"1,156",49,80,"1,416",223,81.6
"Life scientists, all other",1,–,–,1,–,–,0,–,–,–
Astronomers and physicists,14,–,–,0,–,–,14,–,–,–
Atmospheric and space scientists,7,–,–,1,–,–,6,–,–,–
Chemists and materials scientists,115,"1,284",73,45,–,–,70,"1,362",57,–
Environmental scientists and geoscientists,80,"1,336",40,28,–,–,52,"1,427",43,–
"Physical scientists, all other",289,"1,455",39,120,"1,341",57,169,"1,582",51,84.8
Economists,35,–,–,6,–,–,29,–,–,–
Survey researchers,0,–,–,0,–,–,0,–,–,–
Psychologists,134,"1,331",106,99,"1,255",73,35,–,–,–
Sociologists,5,–,–,3,–,–,2,–,–,–
Urban and regional planners,28,–,–,13,–,–,15,–,–,–
Miscellaneous social scientists and related workers,39,–,–,14,–,–,25,–,–,–
Agricultural and food science technicians,31,–,–,7,–,–,24,–,–,–
Biological technicians,17,–,–,7,–,–,10,–,–,–
Chemical technicians,58,"1,002",42,17,–,–,42,–,–,–
Geological and petroleum technicians,11,–,–,4,–,–,7,–,–,–
Nuclear technicians,11,–,–,3,–,–,8,–,–,–
Social science research assistants,0,–,–,0,–,–,0,–,–,–
"Miscellaneous life, physical, and social science technicians",124,862,31,58,856,23,66,893,123,95.9
Community and social service occupations,"2,223",913,10,"1,469",886,11,754,984,21,90.0
Counselors,705,941,15,506,913,19,199,"1,004",19,90.9
Social workers,753,907,15,611,897,15,141,958,40,93.6
Probation officers and correctional treatment specialists,105,944,30,60,930,34,45,–,–,–
Social and human service assistants,166,749,22,133,752,22,33,–,–,–
"Miscellaneous community and social service specialists, including health educators and community health workers",62,881,78,48,–,–,14,–,–,–
Clergy,337,990,45,68,855,39,268,"1,036",36,82.5
"Directors, religious activities and education",51,927,49,25,–,–,27,–,–,–
"Religious workers, all other",45,–,–,18,–,–,27,–,–,–
Legal occupations,"1,466","1,467",29,815,"1,243",32,651,"1,910",31,65.1
Lawyers,853,"1,947",70,344,"1,762",26,509,"2,202",187,80.0
Judicial law clerks,15,–,–,8,–,–,7,–,–,–
"Judges, magistrates, and other judicial workers",69,"1,602",84,19,–,–,49,–,–,–
Paralegals and legal assistants,413,948,25,359,953,25,54,917,42,103.9
Miscellaneous legal support workers,117,"1,143",46,85,"1,109",58,32,–,–,–
"Education, training, and library occupations","7,166","1,002",9,"5,251",934,8,"1,915","1,235",17,75.6
Postsecondary teachers,994,"1,439",29,460,"1,253",36,534,"1,603",60,78.2
Preschool and kindergarten teachers,568,648,28,555,643,28,14,–,–,–
Elementary and middle school teachers,"3,030","1,010",11,"2,410",982,11,620,"1,148",19,85.5
Secondary school teachers,948,"1,141",12,556,"1,092",26,392,"1,226",36,89.1
Special education teachers,324,"1,039",20,281,"1,042",18,43,–,–,–
Other teachers and instructors,388,957,47,215,840,41,172,"1,095",47,76.7
"Archivists, curators, and museum technicians",37,–,–,20,–,–,17,–,–,–
Librarians,127,927,79,98,910,55,29,–,–,–
Library technicians,10,–,–,7,–,–,3,–,–,–
Teacher assistants,615,556,14,553,550,17,62,584,82,94.2
"Other education, training, and library workers",125,"1,095",98,95,"1,036",83,30,–,–,–
"Arts, design, entertainment, sports, and media occupations","1,880","1,086",24,828,997,23,"1,052","1,151",14,86.6
Artists and related workers,64,"1,078",71,18,–,–,46,–,–,–
Designers,684,"1,060",24,327,932,38,357,"1,169",27,79.7
Actors,7,–,–,2,–,–,5,–,–,–
Producers and directors,147,"1,224",113,49,–,–,98,"1,476",204,–
"Athletes, coaches, umpires, and related workers",164,"1,044",25,35,–,–,129,"1,049",27,–
Dancers and choreographers,11,–,–,7,–,–,4,–,–,–
"Musicians, singers, and related workers",47,–,–,19,–,–,28,–,–,–
"Entertainers and performers, sports and related workers, all other",17,–,–,10,–,–,7,–,–,–
Announcers,26,–,–,4,–,–,22,–,–,–
"News analysts, reporters and correspondents",59,"1,012",42,30,–,–,29,–,–,–
Public relations specialists,118,"1,313",92,78,"1,169",78,40,–,–,–
Editors,124,"1,112",35,67,"1,138",129,57,"1,104",34,103.1
Technical writers,60,"1,318",108,35,–,–,25,–,–,–
Writers and authors,110,"1,233",70,68,"1,036",55,42,–,–,–
Miscellaneous media and communication workers,62,880,28,51,850,36,12,–,–,–
Broadcast and sound engineering technicians and radio operators,73,"1,028",67,7,–,–,66,"1,038",61,–
Photographers,68,904,102,16,–,–,51,"1,006",124,–
"Television, video, and motion picture camera operators and editors",35,–,–,6,–,–,30,–,–,–
"Media and communication equipment workers, all other",4,–,–,0,–,–,4,–,–,–
Healthcare practitioners and technical occupations,"7,154","1,140",8,"5,354","1,078",11,"1,800","1,383",27,77.9
Chiropractors,15,–,–,3,–,–,12,–,–,–
Dentists,56,"1,884",40,28,–,–,27,–,–,–
Dietitians and nutritionists,70,967,45,63,940,41,8,–,–,–
Optometrists,29,–,–,15,–,–,13,–,–,–
Pharmacists,263,"2,071",249,165,"1,890",172,98,"2,271",111,83.2
Physicians and surgeons,827,"2,001",148,352,"1,677",101,475,"2,513",231,66.7
Physician assistants,118,"1,752",37,80,"1,646",585,37,–,–,–
Podiatrists,4,–,–,1,–,–,3,–,–,–
Audiologists,8,–,–,6,–,–,2,–,–,–
Occupational therapists,80,"1,283",41,64,"1,252",65,16,–,–,–
Physical therapists,209,"1,395",46,139,"1,387",53,71,"1,410",79,98.4
Radiation therapists,13,–,–,8,–,–,6,–,–,–
Recreational therapists,11,–,–,10,–,–,1,–,–,–
Respiratory therapists,95,"1,074",48,59,"1,000",44,36,–,–,–
Speech-language pathologists,105,"1,215",64,100,"1,214",62,6,–,–,–
Exercise physiologists,2,–,–,2,–,–,0,–,–,–
"Therapists, all other",155,"1,047",37,122,"1,014",75,33,–,–,–
Veterinarians,64,"1,677",107,46,–,–,18,–,–,–
Registered nurses,"2,584","1,167",11,"2,270","1,156",11,315,"1,271",31,91.0
Nurse anesthetists,22,–,–,8,–,–,13,–,–,–
Nurse midwives,2,–,–,2,–,–,0,–,–,–
Nurse practitioners,158,"1,894",23,134,"1,891",22,24,–,–,–
"Health diagnosing and treating practitioners, all other",10,–,–,4,–,–,6,–,–,–
Clinical laboratory technologists and technicians,290,893,34,215,911,34,75,819,41,111.2
Dental hygienists,75,"1,047",45,72,"1,055",64,3,–,–,–
Diagnostic related technologists and technicians,269,"1,140",44,172,"1,061",61,97,"1,232",44,86.1
Emergency medical technicians and paramedics,180,894,48,59,764,24,122,943,50,81.0
Health practitioner support technologists and technicians,542,691,17,431,655,15,112,807,21,81.2
Licensed practical and licensed vocational nurses,490,757,21,434,743,21,56,936,139,79.4
Medical records and health information technicians,140,765,40,129,739,38,11,–,–,–
"Opticians, dispensing",47,–,–,36,–,–,11,–,–,–
Miscellaneous health technologists and technicians,117,873,97,73,791,31,44,–,–,–
Other healthcare practitioners and technical occupations,100,"1,022",52,52,961,40,48,–,–,–
Service occupations,"16,288",569,3,"8,340",511,2,"7,948",641,6,79.7
Healthcare support occupations,"2,595",561,6,"2,235",548,6,361,661,21,82.9
"Nursing, psychiatric, and home health aides","1,419",516,4,"1,265",513,4,154,558,22,91.9
Occupational therapy assistants and aides,24,–,–,21,–,–,4,–,–,–
Physical therapist assistants and aides,68,848,32,43,–,–,24,–,–,–
Massage therapists,40,–,–,24,–,–,15,–,–,–
Dental assistants,197,606,13,187,598,12,9,–,–,–
Medical assistants,499,612,10,454,607,10,45,–,–,–
Medical transcriptionists,23,–,–,18,–,–,4,–,–,–
Pharmacy aides,28,–,–,23,–,–,5,–,–,–
Veterinary assistants and laboratory animal caretakers,49,–,–,39,–,–,10,–,–,–
Phlebotomists,96,624,16,67,602,14,29,–,–,–
"Miscellaneous healthcare support occupations, including medical equipment preparers",154,598,16,93,559,20,61,703,52,79.5
Protective service occupations,"2,836",848,15,578,613,10,"2,258",922,17,66.5
First-line supervisors of correctional officers,47,–,–,13,–,–,35,–,–,–
First-line supervisors of police and detectives,85,"1,460",48,12,–,–,74,"1,461",63,–
First-line supervisors of fire fighting and prevention workers,52,"1,304",65,2,–,–,50,"1,321",59,–
"First-line supervisors of protective service workers, all other",74,839,212,16,–,–,58,886,61,–
Firefighters,295,"1,126",43,14,–,–,280,"1,133",24,–
Fire inspectors,18,–,–,2,–,–,16,–,–,–
"Bailiffs, correctional officers, and jailers",394,742,28,105,646,26,289,811,35,79.7
Detectives and criminal investigators,157,"1,331",65,35,–,–,122,"1,317",71,–
Fish and game wardens,6,–,–,0,–,–,5,–,–,–
Parking enforcement workers,4,–,–,4,–,–,0,–,–,–
Police and sheriff's patrol officers,728,"1,092",26,106,816,80,622,"1,131",24,72.1
Transit and railroad police,1,–,–,0,–,–,1,–,–,–
Animal control workers,13,–,–,8,–,–,5,–,–,–
Private detectives and investigators,89,851,69,46,–,–,43,–,–,–
Security guards and gaming surveillance officers,781,596,9,187,506,9,594,636,19,79.6
Crossing guards,28,–,–,6,–,–,22,–,–,–
Transportation security screeners,33,–,–,6,–,–,27,–,–,–
"Lifeguards and other recreational, and all other protective service workers",31,–,–,16,–,–,15,–,–,–
Food preparation and serving related occupations,"4,394",501,4,"2,184",473,5,"2,210",533,9,88.7
Chefs and head cooks,365,615,13,65,562,38,300,624,20,90.1
First-line supervisors of food preparation and serving workers,397,583,20,231,539,17,166,668,21,80.7
Cooks,"1,325",486,6,521,437,9,804,518,8,84.4
Food preparation workers,473,463,11,267,446,13,206,486,14,91.8
Bartenders,275,581,11,151,560,23,124,601,17,93.2
"Combined food preparation and serving workers, including fast food",147,436,26,83,475,32,64,410,16,115.9
"Counter attendants, cafeteria, food concession, and coffee shop",41,–,–,22,–,–,19,–,–,–
Waiters and waitresses,932,496,8,611,478,9,321,551,35,86.8
"Food servers, nonrestaurant",106,484,13,74,475,46,32,–,–,–
Dining room and cafeteria attendants and bartender helpers,118,447,34,58,408,13,59,500,24,81.6
Dishwashers,111,441,22,22,–,–,89,434,22,–
"Hosts and hostesses, restaurant, lounge, and coffee shop",102,471,23,78,473,22,24,–,–,–
"Food preparation and serving related workers, all other",2,–,–,1,–,–,1,–,–,–
Building and grounds cleaning and maintenance occupations,"3,695",551,6,"1,322",477,5,"2,373",604,5,79.0
First-line supervisors of housekeeping and janitorial workers,193,711,27,77,615,49,116,772,34,79.7
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",95,770,20,2,–,–,93,774,34,–
Janitors and building cleaners,"1,672",571,8,480,491,8,"1,193",607,8,80.9
Maids and housekeeping cleaners,825,467,8,723,457,8,102,559,21,81.8
Pest control workers,75,688,94,4,–,–,70,725,82,–
Grounds maintenance workers,834,572,12,36,–,–,798,576,10,–
Personal care and service occupations,"2,768",544,7,"2,022",517,5,746,638,25,81.0
First-line supervisors of gaming workers,125,793,71,43,–,–,83,914,46,–
First-line supervisors of personal service workers,86,747,47,60,739,49,27,–,–,–
Animal trainers,11,–,–,7,–,–,4,–,–,–
Nonfarm animal caretakers,102,555,42,79,548,55,24,–,–,–
Gaming services workers,73,654,44,36,–,–,37,–,–,–
Motion picture projectionists,0,–,–,0,–,–,0,–,–,–
"Ushers, lobby attendants, and ticket takers",5,–,–,3,–,–,3,–,–,–
Miscellaneous entertainment attendants and related workers,85,523,33,28,–,–,56,518,24,–
Embalmers and funeral attendants,11,–,–,3,–,–,8,–,–,–
"Morticians, undertakers, and funeral directors",27,–,–,7,–,–,20,–,–,–
Barbers,48,–,–,15,–,–,34,–,–,–
"Hairdressers, hairstylists, and cosmetologists",309,545,17,287,548,16,22,–,–,–
Miscellaneous personal appearance workers,258,523,22,206,512,13,52,615,40,83.3
"Baggage porters, bellhops, and concierges",73,620,16,13,–,–,59,652,103,–
Tour and travel guides,22,–,–,9,–,–,13,–,–,–
Childcare workers,437,500,10,405,492,10,32,–,–,–
Personal care aides,786,500,7,654,493,8,132,555,33,88.8
Recreation and fitness workers,208,603,24,109,543,43,100,724,57,75.0
Residential advisors,29,–,–,18,–,–,11,–,–,–
"Personal care and service workers, all other",74,522,50,42,–,–,32,–,–,–
Sales and office occupations,"23,714",742,3,"14,166",696,4,"9,548",846,8,82.3
Sales and related occupations,"10,077",798,7,"4,455",651,7,"5,621",949,10,68.6
First-line supervisors of retail sales workers,"2,421",795,14,"1,062",672,12,"1,359",911,16,73.8
First-line supervisors of non-retail sales workers,893,"1,153",21,305,"1,054",49,588,"1,199",64,87.9
Cashiers,"1,390",465,7,"1,013",463,8,377,468,16,98.9
Counter and rental clerks,82,729,22,30,–,–,51,769,24,–
Parts salespersons,109,702,40,11,–,–,98,718,43,–
Retail salespersons,"1,860",657,12,716,543,14,"1,144",764,14,71.1
Advertising sales agents,169,998,119,79,"1,053",39,91,950,39,110.8
Insurance sales agents,466,859,22,261,809,20,205,"1,048",189,77.2
"Securities, commodities, and financial services sales agents",197,"1,440",35,66,"1,047",95,131,"1,639",249,63.9
Travel agents,53,789,57,43,–,–,10,–,–,–
"Sales representatives, services, all other",427,"1,230",89,113,933,103,315,"1,345",30,69.4
"Sales representatives, wholesale and manufacturing","1,112","1,161",15,295,"1,009",36,817,"1,239",27,81.4
"Models, demonstrators, and product promoters",15,–,–,11,–,–,3,–,–,–
Real estate brokers and sales agents,528,"1,019",51,291,883,53,236,"1,264",127,69.9
Sales engineers,38,–,–,4,–,–,34,–,–,–
Telemarketers,50,559,29,31,–,–,19,–,–,–
"Door-to-door sales workers, news and street vendors, and related workers",41,–,–,17,–,–,25,–,–,–
"Sales and related workers, all other",227,"1,036",62,109,873,40,118,"1,323",57,66.0
Office and administrative support occupations,"13,637",717,3,"9,711",711,4,"3,926",738,8,96.3
First-line supervisors of office and administrative support workers,"1,279",885,15,892,835,14,386,"1,050",37,79.5
"Switchboard operators, including answering service",21,–,–,19,–,–,3,–,–,–
Telephone operators,29,–,–,22,–,–,6,–,–,–
"Communications equipment operators, all other",7,–,–,2,–,–,5,–,–,–
Bill and account collectors,114,711,21,85,694,20,28,–,–,–
Billing and posting clerks,417,721,22,361,725,19,56,664,27,109.2
"Bookkeeping, accounting, and auditing clerks",679,742,10,575,739,10,104,778,52,95.0
Gaming cage workers,7,–,–,6,–,–,1,–,–,–
Payroll and timekeeping clerks,111,827,38,100,807,39,11,–,–,–
Procurement clerks,30,–,–,14,–,–,16,–,–,–
Tellers,240,584,8,206,584,8,34,–,–,–
"Financial clerks, all other",77,839,166,48,–,–,30,–,–,–
Brokerage clerks,5,–,–,4,–,–,2,–,–,–
Correspondence clerks,5,–,–,3,–,–,2,–,–,–
"Court, municipal, and license clerks",78,897,71,61,804,54,17,–,–,–
"Credit authorizers, checkers, and clerks",50,818,149,30,–,–,21,–,–,–
Customer service representatives,"1,904",683,9,"1,226",680,10,678,689,18,98.7
"Eligibility interviewers, government programs",67,887,61,53,841,79,14,–,–,–
File clerks,110,650,33,86,624,26,23,–,–,–
"Hotel, motel, and resort desk clerks",85,520,28,56,505,26,29,–,–,–
"Interviewers, except eligibility and loan",114,702,45,96,686,53,18,–,–,–
"Library assistants, clerical",34,–,–,26,–,–,8,–,–,–
Loan interviewers and clerks,115,827,42,99,797,49,16,–,–,–
New accounts clerks,21,–,–,13,–,–,8,–,–,–
Order clerks,57,659,29,29,–,–,28,–,–,–
"Human resources assistants, except payroll and timekeeping",53,816,126,45,–,–,7,–,–,–
Receptionists and information clerks,934,605,6,853,606,6,81,593,33,102.2
Reservation and transportation ticket agents and travel clerks,109,745,114,60,766,86,50,681,143,112.5
"Information and record clerks, all other",95,733,22,71,724,21,24,–,–,–
Cargo and freight agents,18,–,–,12,–,–,6,–,–,–
Couriers and messengers,192,786,33,29,–,–,164,821,42,–
Dispatchers,270,783,47,162,725,29,108,926,63,78.3
"Meter readers, utilities",24,–,–,2,–,–,22,–,–,–
Postal service clerks,115,765,58,63,771,80,51,758,84,101.7
Postal service mail carriers,288,931,28,118,808,51,170,983,30,82.2
"Postal service mail sorters, processors, and processing machine operators",53,980,139,32,–,–,22,–,–,–
"Production, planning, and expediting clerks",252,870,39,134,790,49,119,"1,004",88,78.7
"Shipping, receiving, and traffic clerks",524,632,16,160,590,24,365,654,20,90.2
Stock clerks and order fillers,988,562,11,359,570,16,629,558,15,102.2
"Weighers, measurers, checkers, and samplers, recordkeeping",44,–,–,14,–,–,30,–,–,–
Secretaries and administrative assistants,"1,977",759,7,"1,855",753,7,122,903,54,83.4
Computer operators,67,763,31,40,–,–,27,–,–,–
Data entry keyers,224,655,22,173,643,25,52,730,68,88.1
Word processors and typists,53,858,69,43,–,–,9,–,–,–
Desktop publishers,1,–,–,0,–,–,1,–,–,–
Insurance claims and policy processing clerks,211,719,20,175,713,26,36,–,–,–
"Mail clerks and mail machine operators, except postal service",44,–,–,13,–,–,31,–,–,–
"Office clerks, general",925,697,11,797,701,11,128,670,29,104.6
"Office machine operators, except computer",13,–,–,9,–,–,5,–,–,–
Proofreaders and copy markers,7,–,–,4,–,–,2,–,–,–
Statistical assistants,41,–,–,25,–,–,16,–,–,–
"Office and administrative support workers, all other",456,794,25,352,762,15,104,920,38,82.8
"Natural resources, construction, and maintenance occupations","11,546",824,6,516,638,28,"11,030",834,7,76.5
"Farming, fishing, and forestry occupations",850,581,7,183,483,12,667,602,8,80.2
"First-line supervisors of farming, fishing, and forestry workers",45,–,–,7,–,–,37,–,–,–
Agricultural inspectors,18,–,–,6,–,–,13,–,–,–
Animal breeders,2,–,–,0,–,–,2,–,–,–
"Graders and sorters, agricultural products",75,593,26,37,–,–,38,–,–,–
Miscellaneous agricultural workers,641,552,13,130,474,13,512,578,9,82.0
Fishers and related fishing workers,12,–,–,0,–,–,12,–,–,–
Hunters and trappers,3,–,–,0,–,–,3,–,–,–
Forest and conservation workers,17,–,–,3,–,–,15,–,–,–
Logging workers,36,–,–,0,–,–,36,–,–,–
Construction and extraction occupations,"6,414",808,5,191,785,41,"6,223",809,6,97.0
First-line supervisors of construction trades and extraction workers,541,"1,059",36,20,–,–,521,"1,073",37,–
Boilermakers,16,–,–,0,–,–,16,–,–,–
"Brickmasons, blockmasons, and stonemasons",102,763,48,2,–,–,100,761,48,–
Carpenters,973,756,15,20,–,–,953,759,15,–
"Carpet, floor, and tile installers and finishers",108,692,31,4,–,–,105,682,31,–
"Cement masons, concrete finishers, and terrazzo workers",46,–,–,0,–,–,46,–,–,–
Construction laborers,"1,470",717,8,49,–,–,"1,421",717,8,–
"Paving, surfacing, and tamping equipment operators",19,–,–,0,–,–,18,–,–,–
Pile-driver operators,1,–,–,0,–,–,1,–,–,–
Operating engineers and other construction equipment operators,328,905,21,5,–,–,323,905,21,–
"Drywall installers, ceiling tile installers, and tapers",125,704,26,1,–,–,124,707,26,–
Electricians,781,965,22,16,–,–,766,966,22,–
Glaziers,35,–,–,0,–,–,35,–,–,–
Insulation workers,49,–,–,1,–,–,48,–,–,–
"Painters, construction and maintenance",380,679,15,20,–,–,360,679,14,–
Paperhangers,3,–,–,0,–,–,3,–,–,–
"Pipelayers, plumbers, pipefitters, and steamfitters",531,921,31,17,–,–,514,916,26,–
Plasterers and stucco masons,15,–,–,1,–,–,14,–,–,–
Reinforcing iron and rebar workers,3,–,–,0,–,–,3,–,–,–
Roofers,148,687,18,2,–,–,146,686,19,–
Sheet metal workers,129,881,24,2,–,–,127,882,23,–
Structural iron and steel workers,52,934,52,1,–,–,51,941,52,–
Solar photovoltaic installers,9,–,–,0,–,–,9,–,–,–
"Helpers, construction trades",68,620,18,1,–,–,67,622,18,–
Construction and building inspectors,82,996,121,14,–,–,68,"1,015",93,–
Elevator installers and repairers,25,–,–,2,–,–,23,–,–,–
Fence erectors,21,–,–,0,–,–,21,–,–,–
Hazardous materials removal workers,30,–,–,3,–,–,27,–,–,–
